timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
10,-0.00382504071482933,0.0721265401245966,0.0557160299601778,0.0470365202969475,-0.0549258657881281,0.0538893473022209,-0.0362134052287707,-0.0847489708375218,0.0535448587411267,0.999888226756873,-2.69897720925628e-06,-0.000190377788473725,0.0149547195012781,-0.000723147462781351,0.00369407092172075,0.0510380595734602,-0.0410391242531986,-0.0749999999876595,0.0360756480900059,0.0410338257169948,0.0552884441367839,0.0207333433100702,0.070685418959704,-0.0749999992480306,0.0209952615323751,-0.000162051283821487,0.00871472573128558,0.380793825183212,0.000444631462730214,0.0380638951929904,-0.00087140185095714,-0.0525040752966562,-0.122876188708804,0.247858913384091,0.0824232209758207,0.201979900212751,0.249999984532443,0.028010985073801,-0.325713331083287,0.250000002284414,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0.0689068672330659,0,0.03,0,0,0.03,0.0407157250471764,0,0.0581355660042519,0,0.104123953027916,0.03,0,0.03,0,0.0445135002370508,0.5,0.675472883137264,0.5,0.700730962834439,0,0.5,0,0.5,1.0191132168031,1.21519318590611,0.977666564230571,1.25663983847864,0,0.5,0,0.5,0.5,0,0,0.523471744439175,0,0.5,0,0,0.5,0,0.5,0
11,-0.00528261177425949,0.0715765511771692,0.0566707518736778,0.0472360192950683,-0.0535405337885277,0.05378307411803,-0.0346602678862327,-0.0866483900723831,0.0537322723654338,0.999813111140332,-4.28858323638812e-06,-0.0002329117984918,0.0193366513429081,-0.000819167881307835,0.00466175924098008,0.0510561847617894,-0.0750000003173915,0.0113647502363349,0.0499999999813756,-0.00418002249425954,0.0749999986013607,-0.0159977479343999,0.0750000002025151,-0.0749999992691021,-0.00014033843616441,-0.000211150032191155,-0.00255126290807804,0.465902928087711,-0.00976324153582761,0.056190224272959,0.000807303894574322,0.178630491368228,-0.383883550781245,0.231964173664308,0.120265278568272,0.235752591927262,0.249999988200382,0.0116694441839671,-0.388367970376197,0.250000025046847,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0.0665081390919303,0,0.03,0,0,0.03,0.03,0,0.0576700504130773,0,0.106943221089655,0.03,0,0.03,0,0.0443378692377264,0.5,0.62330968611995,0.5,0.551796486900518,0,0.5,0,0.5,1.11999534542659,1.32278797503906,1.0707094628147,1.37207385765095,0,0.5,0,0.5,0.5,0,0,0.557355526662143,0,0.5,0,0,0.5,0,0.5,0
12,-0.00689774867070412,0.0716222078584002,0.0577261046148222,0.0470060117625864,-0.0520436502509134,0.0533221168896658,-0.0330795420456029,-0.0885765710772385,0.0536483201347599,0.999716352328419,-5.05453319799399e-06,-0.000220324627752341,0.0238193514777279,-0.00102231096570917,0.00576211895125226,0.0510545818807896,-0.0750000003690919,-0.00514794768016972,0.0500000001784818,-0.016992382138522,0.0737594475115181,-0.0276808215997001,0.0750000000907156,-0.0749999991444469,-0.00751719937474702,-0.000196133024388947,0.000848725665254727,0.440765289738281,-0.0105151923821146,0.0545871075720643,-3.56971893493176e-05,0.189769637255097,-0.198216961977114,0.197531944822223,-0.073854528440937,0.236531832844778,0.250000015764506,0.0239581198566591,-0.361253040974926,0.243620165950334,0,0,0,0,0.03,0.128805184894278,0.0600399549767805,0,0,0,0,0,0.0355340399438833,0,0.03,0,0,0.03,0.03,0,0.03,0.0622338569331816,0,0.03,0,0.03,0,0.03,0.5,0.627826774322064,0.5,0.508804340714984,0,0,0,0.5,1.23048593307751,1.52301388270129,1.24562717417236,1.50787264160644,0,0.532662080790048,0,0.514845211617395,0.52182714497271,0,0,0.5,0,0,0.5,0,0.514581885351264,0,0.6982084393083,0
13,-0.00843957063618134,0.0704002002297398,0.0588015699737279,0.0482346783088659,-0.050477129752612,0.0527922347050956,-0.0315419366830832,-0.0906421014115343,0.0537689188415608,0.999579198052857,-7.23533696623194e-06,-0.000258603727571508,0.0290108275630291,-0.00105184136900672,0.00682497067155491,0.0510516502988013,-0.0750000000184851,-0.0749999999647301,0.0500000001200009,0.0750000000155347,0.0749999998834983,-0.0402029830119763,0.0750000000104699,-0.0749999999601464,0.0171139541434095,-0.000280147106382573,0.00430670646692423,0.517409904250488,0.000219769940841871,0.0516576638812601,-0.000431453427954593,0.0337446393995554,-0.0639005629350223,0.204593731425087,-0.107868336901181,0.207681406113658,0.250000002938042,0.0839887180451235,-0.399999972734399,0.250000198169137,0.12574486450257,0,0.17633193117018,0,0.03,0.174021807806886,0.0658851340340204,0,0,0,0,0,0.067591145646486,0.0490609811790114,0.03,0,0,0.03,0.0406314221847747,0,0.0562071365599451,0.0757323170344963,0,0.03,0,0.03,0,0.03,0,0.585428491884259,0,0.588446379764546,0,0,0,0.5,1.26645839100795,1.61336225794803,1.28487530999413,1.59494533896185,0,0,0,0.679858031560494,0.594480056198946,0,0,0.5,0,0,0.5,0,0.610359084874703,0,0.5,0
14,-0.00764352681922826,0.0681002401205441,0.0592933650481445,0.0497824335213712,-0.0486034517716196,0.0518353523382879,-0.0304379683032796,-0.0927394282029813,0.0539446570697096,0.999383490048003,-1.03942260071614e-05,-0.000306570936018554,0.03511300001273,-0.001051329268835,0.00801900645833024,0.0510611939901835,0.0749999999370198,-0.0749999997427701,0.00380002283722989,0.0750000000519889,0.0749999996033664,-0.0500000000050826,0.0389970885597366,-0.0749999998350272,0.00197387626984967,-0.000378330338056409,0.000619588256721091,0.613494343804907,3.16418100413167e-05,0.0612038385568145,-6.44215942929814e-05,0.0918606498662921,-0.348405833683536,0.149999999721105,-0.155027743155557,0.373593480149807,0.175010498306067,0.079523747466253,-0.399999887134713,0.25000007856627,0.145776080589618,0,0.233139274784834,0.288339096175079,0.03,0,0.0985255902073979,0.0858349280640697,0,0,0,0,0.0651176522661689,0.0475711262788181,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.0470864768518472,0,0.5,0,0,0,0.5,0,0,1.369918496538,1.75975306370147,1.39401363208254,1.73565792815692,0,0,0,0.778536731561656,0.680959468672004,0,0,0.588376903791267,0,0.5,0.579009571091304,0,0.675297268831449,0,0.523857233738353,0
15,-0.00757424119850652,0.0679960714554163,0.0593266048916802,0.0504462139212113,-0.0478139956422025,0.051707504649594,-0.029055640434412,-0.0949093665223742,0.0540834337505427,0.999231144639182,-1.59512594716844e-05,-1.28907417918286e-05,0.0392084238428687,-0.000826126621694576,0.0083411283472252,0.0510227910931107,-0.02119679188963,0.000296805518661808,-0.000720261474016595,0.019561371807975,0.0242393394624702,-0.000290461553367205,0.0750000000382695,-0.074999999518236,0.0110010768388866,0.000829445074293523,-0.00903299263166288,0.424221183712389,-4.2778348998156e-05,0.00282709280441511,-0.000707904770163564,0.0802238216467064,-0.399999600891882,0.149999834961282,-0.106856094343415,0.400000299226193,0.150000025724102,0.0371064697281722,-0.399999670404055,0.228264145902056,0.0303883784365989,0,0.19697955688522,0.274851292330319,0.03,0,0.0858713680065059,0.115530459728382,0,0,0,0,0.0933470970262272,0,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0,0.5,0,0,0,0.5,0,0,1.43090715887202,1.84089924453589,1.46406084311789,1.80774556029003,0,0.5,0,0.5,0.751684119733454,0,0,0.67543477130403,0,0.5,0.62932033504366,0,0.678756838479643,0,0.553562641987093,0
16,-0.00820113298524034,0.0679209181716116,0.0593496155993597,0.0509734175134191,-0.0472011916243199,0.0517212843979077,-0.0274498560039762,-0.0969489362416618,0.0543603922073217,0.998976342201963,2.42828494692997e-05,-6.49865919256623e-08,0.0452422152058451,-0.000853508645576557,0.00834153766282403,0.0510416771485437,-0.0405477538958323,-0.00746368904571795,0.00124563031903515,0.0326448841828197,0.036594950591366,0.000761208198051697,0.0749999999970177,-0.0749999999979134,0.016177158339542,0.00386197254678639,0.00203349276932357,0.76831264009405,-0.00243610000266892,-0.00250636254099178,0.00104098672442001,0.119300588907536,-0.400000008892347,0.149999983447302,-0.11827465548399,0.399999992699952,0.149999998827228,0.0406272732037437,-0.399999998572484,0.232095691290284,0.0445085200324439,0,0.202411397203373,0,0.03,0,0.08652743481988,0.11512722729264,0,0,0,0,0.0906714406239873,0,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0,0.5,0,0.5,0,0.5,0,0,1.52310828575176,1.95714617687142,1.57008717615607,1.91016728646712,0,0.5,0,0.5,0.760678852008764,0,0,0.695046660826869,0,0.5,0.655734104479384,0,0.684332971003108,0,0.594287139032439,0
17,-0.00883897404085729,0.0679144572746606,0.0593331156572736,0.0515553389169189,-0.0464648999211761,0.0517179688878654,-0.0258556779787557,-0.0991032983719593,0.0547295169031125,0.998664874973249,-2.69266217233135e-05,-2.98643954160385e-05,0.0516602010840324,-0.000853588934929264,0.00842035906394372,0.0510305529175362,-0.0276512755083393,0.00179063569204801,-0.000385631421308447,0.0250255072685608,0.0342709226328783,-0.000393109074734206,0.0749999999949685,-0.0749999997819379,0.0203209315211574,0.000538848238732622,-0.000746319134188912,0.557107184350316,-3.95070576718141e-05,0.00565744579191094,-0.000407177608519096,0.0941386992558682,-0.399999818762069,0.149999960199035,-0.110593368781951,0.40000013841158,0.150000012832258,0.0468596915526425,-0.399999850814024,0.229818680064781,0.03,0,0.197695130246135,0,0.03,0,0.0950198655346099,0.116324966312759,0,0,0,0,0.112006567529757,0,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0,0.530716105115844,0,0.5,0,0.516050908729897,0,0,1.5744021096357,2.03209768759445,1.62381756906552,1.98268222816463,0,0.5,0,0.5,0.801375721084792,0,0,0.720969589005874,0,0.5,0.685318669927051,0,0.740355766009745,0,0.656942745254236,0
18,-0.00933693560516237,0.0679107774866931,0.0593331955584515,0.0520980162045708,-0.0458193647573343,0.0517148620472744,-0.0242231373421557,-0.101389209841899,0.0552213396014003,0.998364114937866,-3.20389514470836e-05,9.14719932904089e-06,0.057178693224359,-0.000804887393745567,0.00849583379629059,0.0510307980142729,-0.0230611451129716,-0.00199968510609471,4.46371768318047e-05,0.0291833840054611,0.0308961742854731,-0.000114229537105981,0.0749999999942824,-0.0750000001083384,0.028084937902125,-0.000862924881087417,0.00406159196115582,0.556600946114738,0.00444837959188627,0.00209437829445989,5.75023542891923e-05,0.0936465323448086,-0.400000139627693,0.149999829693937,-0.112551478942491,0.399999896256151,0.149999985959925,0.0707928247559518,-0.400000074121038,0.229833441548114,0.03,0,0.200769376209662,0,0.03,0,0.0692837241605457,0.119847423780199,0,0,0,0,0.0871802200640063,0.15943820964908,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0,0.524428438037998,0,0.5,0,0.537769512312732,0,0,1.58323775986847,2.09730101983244,1.65304779960484,2.02749098009608,0,0,0,0.510266141432349,0.841443036968481,0,0,0.745148385040534,0,0.5,0.675436070744426,0,0.780469174704932,0,0.706162175679293,0
19,-0.00968366286133589,0.067850169419022,0.0593236205794863,0.0525958538660885,-0.0453430918656504,0.0517023629465176,-0.0226119000868701,-0.103689169081437,0.0559089737766804,0.998095914931601,-2.35815927245824e-05,2.08358553273026e-05,0.0616820544411282,-0.000705625353661502,0.00850365923739366,0.0510202662408942,-0.013572116812601,-0.00287814435179923,-0.000472731906064374,0.0203850128904527,0.0188697090042963,-0.00052567236383167,0.0750000000037567,-0.0749999999455161,0.0395336118999651,0.00113160588488184,-0.000882429680315795,0.363560110659396,0.00440430359432941,-5.69758944212846e-05,-0.000521853460438944,0.0897671233503369,-0.350688395252373,0.149999676568521,-0.119233416584074,0.400000082728656,0.150000004922244,0.0821876614610667,-0.399999962722629,0.230273368952508,0.03,0.394645048828202,0.201996948944,0,0.03,0,0.0858500500506051,0.107311799650095,0,0,0,0,0.100063216215063,0.158633169078536,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0,0,0,0.5,0,0.508808023728583,0,0,1.65644875412518,2.14019624265298,1.69598816420141,2.10065683257677,0,0,0,0.555953383179174,0.849522124214711,0,0,0.722199225573652,0,0.5,0.720373651600236,0,0.807711607559627,0,0.739571334216423,0
